acceleration,age,aggression,agility,all_positions,attacking_work_rate,balance,ball_control,birthday,body_type,composure,crossing,curve,defensive_awareness,defensive_work_rate,dribbling,fbrefMatchId,finishing,fk_accuracy,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,heading_accuracy,height,interceptions,jumping,long_passing,long_shots,marking,match_date,nationality,overall_rating,penalties,player_full_name,player_kitnum,player_name,position,positioning,potential,preferred_foot,reactions,real_face,reputation,short_passing,shot_power,skill_moves,sliding_tackle,sofifa_id,specialities,sprint_speed,stamina,standing_tackle,strength,team,team1,team1_contract,team1_joined,team1_kitnum,team1_loaned_from,team1_position,team1_rating,team2,team2_kitnum,team2_position,team2_rating,traits,update_date,value,vision,volleys,wage,weak_foot,weight
54,30-317,85,62,ST,High,71,77,1988-06-29,Stocky (170-185),78.0,56,68,,Medium,67,db4d7668,77,49,10,11,16,12,15,83,183,31,83,61,75,38.0,2019-05-12, ENG,78,80,Troy Deeney,9.0,Troy Deeney,FW,79,78,Right,77,Yes,2,73,86,2,25,183125,#Strength,60,71,30,91,Watford,Watford,2021,"Aug 1, 2010",9,,LS,77,,,,,#Leadership#Team player#Target forward,2019-05-02,€10M,74,78,€60K,3,90
89,25-060,40,94,CF RW LW,High,77,86,1994-03-13,Normal (170-185),77.0,75,84,,Low,89,db4d7668,73,77,12,16,14,11,11,40,177,25,70,62,67,34.0,2019-05-12, ESP,80,77,Gerard Deulofeu Lázaro,7.0,Gerard Deulofeu,FW,78,83,Right,75,Yes,3,78,75,4,22,202477,#Dribbler#Acrobat,88,70,30,54,Watford,Watford,2023,"Jun 11, 2018",7,,RS,77,,,,,#Diver#Selfish#Flair#Technical dribbler (AI),2019-05-02,€19M,77,68,€60K,4,73
87,27-320,70,75,ST,High,74,72,1991-06-26,Normal (170-185),71.0,61,57,,Medium,72,db4d7668,75,44,11,16,11,9,14,65,180,33,72,54,65,27.0,2019-05-12, JAM,76,74,Andre Gray,18.0,Andre Gray,FW,77,76,Right,75,Yes,1,67,80,3,20,194138,,87,72,23,75,Watford,Watford,2022,"Aug 9, 2017",18,,SUB,77,,,,,#Injury free#Beat offside trap#Backs into player,2019-05-02,€8M,67,69,€50K,3,78
