Match_Date,League,Home_Team,Away_Team,Home_Player1,Home_Player2,Home_Player3,Home_Player4,Home_Player5,Home_Player6,Home_Player7,Home_Player8,Home_Player9,Home_Player10,Home_Player11,Away_Player1,Away_Player2,Away_Player3,Away_Player4,Away_Player5,Away_Player6,Away_Player7,Away_Player8,Away_Player9,Away_Player10,Away_Player11,Home_Kit1,Home_Kit2,Home_Kit3,Home_Kit4,Home_Kit5,Home_Kit6,Home_Kit7,Home_Kit8,Home_Kit9,Home_Kit10,Home_Kit11,Away_Kit1,Away_Kit2,Away_Kit3,Away_Kit4,Away_Kit5,Away_Kit6,Away_Kit7,Away_Kit8,Away_Kit9,Away_Kit10,Away_Kit11
2023-12-22,Premier League,Crystal Palace,Brighton,Dean Henderson,Nathaniel Clyne,Joachim Andersen,Marc Guehi,Tyrick Mitchell,Jefferson Lerma,Chris Richards,Michael Olise,Jordan Ayew,Jeffrey Schlupp,Jean-Philippe Mateta,Jason Steele,Pascal Gross,Jan Paul van Hecke,Lewis Dunk,Jack Hinshelwood,Carlos Baleba,Billy Gilmour,Simon Adingra,Joao Pedro,Kaoru Mitoma,Evan Ferguson,30,17,16,6,3,8,26,7,9,15,14,23,13,29,5,41,20,11,24,9,22,28
2023-12-23,Premier League,Aston Villa,Sheffield Utd,Emiliano Martinez,Matty Cash,Ezri Konsa,Diego Carlos,Alex Moreno,Leon Bailey,Douglas Luiz,John McGinn,Jacob Ramsey,Moussa Diaby,Ollie Watkins,Wesley Foderingham,Jayden Bogle,Anel Ahmedhodzic,Jack Robinson,Auston Trusty,Gustavo Hamer,V. de Souza,James McAtee,Andre Brooks,Cameron Archer,Oliver McBurnie,1,2,4,3,15,31,6,7,41,19,11,18,20,15,19,5,8,21,28,35,10,9
2023-12-23,Premier League,West Ham,Man United,Lukasz Fabianski,Vladimir Coufal,Kurt Zouma,Nayef Aguerd,Emerson,Edson Álvarez,Jamie Ward-Prowse,Mohammed Kudus,Tomáš Souček,Lucas Paquetá,Jarrod Bowen,Andre Onana,Aaron Wan-Bissaka,Jonny Evans,Raphael Varane,Luke Shaw,Kobbie Mainoo,Bruno Fernandes,Sofyan Amrabat,A. Matheus dos,Rasmus Højlund,Alejandro Garnacho,01,05,04,27,33,19,07,14,28,10,20,24,29,35,19,23,37,08,04,21,11,49
2023-12-23,Premier League,Fulham,Burnley,Bernd Leno,Timothy Castagne,Issa Diop,Tosin Adarabioyo,Antonee Robinson,Tom Cairney,João Palhinha,Alex Iwobi,Andreas Pereira,Harry Wilson,Rodrigo Muniz,James Trafford,Vitinho,Dara O'Shea,Louis Jordan Beyer,Hannes Delcroix,Wilson Odobert,Sander Berge,Josh Brownhill,Jacob Bruun Larsen,Jay Rodriguez,Zeki Amdouni,17,21,31,04,33,10,26,22,18,08,19,01,22,02,05,44,47,16,08,34,09,25
2023-12-23,Premier League,Luton,Newcastle,Thomas Kaminski,Teden Mengi,Tom Lockyer,Amarii Bell,Alfie Doughty,Pelly Ruddock Mpanzu,Ross Barkley,Ryan Giles,Andros Townsend,Elijah Adebayo,Jacob Brown,Martin Dubravka,Kieran Trippier,Jamaal Lascelles,Fabian Schär,Valentino Livramento,Sean Longstaff,Bruno Guimarães,Joelinton,Miguel Almirón,Callum Wilson,Matt Ritchie,24,15,04,29,45,17,06,26,30,11,19,01,02,06,05,21,36,39,07,24,09,11
2023-12-23,Premier League,Nott’m Forest,Bournemouth,Matt Turner,Moussa Niakhate,Willy Boly,Murillo,Neco Williams,Ryan Yates,Cheikhou Kouyate,Orel Mangala,Harry Toffolo,Morgan Gibbs-White,Anthony Elanga,Neto,Adam Smith,Ilya Zabarnyi,Marcos Senesi,Milos Kerkez,Antoine Semenyo,Lewis Cook,Justin Kluivert,Ryan Christie,Marcus Tavernier,Dominic Solanke,01,19,30,40,07,22,08,05,15,10,21,01,15,27,25,03,24,04,19,10,16,09
2023-12-23,Premier League,Tottenham,Everton,Guglielmo Vicario,Pedro Porro,Cristian Romero,Ben Davies,Emerson Royal,P. Emil Højbjerg,Pape Sarr,Dejan Kulusevski,Brennan Johnson,Heung-Min Son,Richarlison,Jordan Pickford,Nathan Patterson,James Tarkowski,Jarrad Branthwaite,Benjamin Godfrey,Jack Harrison,Amadou Onana,Idrissa Gueye,Dwight McNeil,Beto,D. Calvert-Lewin,13,23,17,33,12,05,29,21,22,07,09,01,02,06,32,22,11,08,27,07,14,09
2023-12-24,Premier League,Wolverhampton,Chelsea,Daniel Bentley,Nélson Semedo,Craig Dawson,Max Kilman,Toti Gomes,J. Bellegarde,Mario Lemina,Joao Gomes,Pablo Sarabia,Hee-Chan Hwang,Matheus Cunha,Djordje Petrovic,Axel Disasi,Thiago Silva,Benoît Badiashile,Levi Colwill,Moisés Caicedo,Conor Gallagher,Raheem Sterling,Cole Palmer,Mykhaylo Mudryk,Nicolas Jackson,25,22,15,23,24,27,05,08,21,11,12,28,02,06,05,26,25,23,07,20,10,15
